,Unnamed: 0,Conv_ID,MovieID,Title,Year,IMDB_Rating,Votes,Genres,Length_Female,Length_Male,Total_Length,Percent_Female,Percent_Male
41,41,c10142,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],3,26,29,0.1034482758620689,0.896551724137931
42,42,c10143,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],20,47,67,0.2985074626865671,0.7014925373134329
43,43,c10144,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],2,24,26,0.0769230769230769,0.9230769230769232
44,44,c10145,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],14,23,37,0.3783783783783784,0.6216216216216216
45,45,c10146,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],85,122,207,0.4106280193236715,0.5893719806763285
46,46,c10147,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],21,14,35,0.6,0.4
47,47,c10148,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],25,20,45,0.5555555555555556,0.4444444444444444
48,48,c10149,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],26,65,91,0.2857142857142857,0.7142857142857143
49,49,c1015,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],11,6,17,0.6470588235294118,0.3529411764705882
50,50,c10150,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],30,73,103,0.2912621359223301,0.7087378640776699
51,51,c10151,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],41,50,91,0.4505494505494505,0.5494505494505495
52,52,c10152,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,10,21,0.5238095238095238,0.4761904761904761
53,53,c10153,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],3,16,19,0.1578947368421052,0.8421052631578947
54,54,c10154,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],135,83,218,0.6192660550458715,0.3807339449541284
55,55,c10155,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],22,2,24,0.9166666666666666,0.0833333333333333
56,56,c10156,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],6,18,24,0.25,0.75
57,57,c10157,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],52,30,82,0.6341463414634146,0.3658536585365853
58,58,c10158,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],24,43,67,0.3582089552238806,0.6417910447761194
59,59,c10159,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],1,1,2,0.5,0.5
60,60,c1016,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],14,3,17,0.8235294117647058,0.1764705882352941
61,61,c10160,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],68,39,107,0.6355140186915887,0.3644859813084112
62,62,c10161,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],47,42,89,0.5280898876404494,0.4719101123595505
63,63,c10162,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],48,59,107,0.4485981308411215,0.5514018691588785
64,64,c10163,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],91,123,214,0.4252336448598131,0.5747663551401869
65,65,c10164,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],37,14,51,0.7254901960784313,0.2745098039215686
66,66,c10165,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],3,7,10,0.3,0.7
67,67,c10166,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],6,17,23,0.2608695652173913,0.7391304347826086
68,68,c10167,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],13,10,23,0.5652173913043478,0.4347826086956521
69,69,c10168,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,33,44,0.25,0.75
70,70,c10169,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],172,76,248,0.6935483870967742,0.3064516129032258
71,71,c1017,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],9,11,20,0.45,0.55
72,72,c10170,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],156,44,200,0.78,0.22
73,73,c10171,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],51,41,92,0.5543478260869565,0.4456521739130434
74,74,c10172,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],16,18,34,0.4705882352941176,0.5294117647058824
75,75,c10177,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],2,12,14,0.1428571428571428,0.8571428571428571
76,76,c10178,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,18,29,0.3793103448275862,0.6206896551724138
77,77,c10179,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],6,2,8,0.75,0.25
78,78,c1018,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],2,6,8,0.25,0.75
79,79,c10180,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,1,12,0.9166666666666666,0.0833333333333333
80,80,c10184,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],114,122,236,0.4830508474576271,0.5169491525423728
81,81,c1019,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],29,17,46,0.6304347826086957,0.3695652173913043
82,82,c1020,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],13,6,19,0.6842105263157895,0.3157894736842105
83,83,c1021,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],61,15,76,0.8026315789473685,0.1973684210526315
84,84,c1022,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],14,30,44,0.3181818181818182,0.6818181818181818
85,85,c1023,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],6,8,14,0.4285714285714285,0.5714285714285714
86,86,c1024,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],8,12,20,0.4,0.6
87,87,c1025,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],3,6,9,0.3333333333333333,0.6666666666666666
88,88,c1026,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],8,5,13,0.6153846153846154,0.3846153846153846
89,89,c1027,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],6,3,9,0.6666666666666666,0.3333333333333333
90,90,c10279,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],34,27,61,0.5573770491803278,0.4426229508196721
91,91,c10280,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],15,15,30,0.5,0.5
92,92,c10281,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],6,28,34,0.1764705882352941,0.8235294117647058
93,93,c10282,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],1,39,40,0.025,0.975
94,94,c10283,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],9,26,35,0.2571428571428571,0.7428571428571429
95,95,c10284,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],10,10,20,0.5,0.5
96,96,c10285,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],38,70,108,0.3518518518518518,0.6481481481481481
97,97,c10286,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],36,105,141,0.2553191489361702,0.7446808510638298
98,98,c10294,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],11,56,67,0.1641791044776119,0.835820895522388
99,99,c10295,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],55,57,112,0.4910714285714285,0.5089285714285714
100,100,c10296,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],24,52,76,0.3157894736842105,0.6842105263157895
101,101,c10297,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],3,2,5,0.6,0.4
102,102,c10298,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],7,36,43,0.1627906976744186,0.8372093023255814
103,103,c10299,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],5,5,10,0.5,0.5
104,104,c10300,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],34,35,69,0.4927536231884058,0.5072463768115942
105,105,c10301,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],22,12,34,0.6470588235294118,0.3529411764705882
106,106,c10302,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],11,24,35,0.3142857142857143,0.6857142857142857
107,107,c10303,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],24,28,52,0.4615384615384615,0.5384615384615384
108,108,c10304,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],2,34,36,0.0555555555555555,0.9444444444444444
109,109,c10305,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],15,19,34,0.4411764705882353,0.5588235294117647
110,110,c10306,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],30,45,75,0.4,0.6
111,111,c10307,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],13,68,81,0.1604938271604938,0.8395061728395061
112,112,c10308,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],16,12,28,0.5714285714285714,0.4285714285714285
113,113,c10309,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],34,109,143,0.2377622377622377,0.7622377622377622
114,114,c10310,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],11,6,17,0.6470588235294118,0.3529411764705882
115,115,c10311,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],52,57,109,0.4770642201834862,0.5229357798165137
116,116,c10312,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],11,39,50,0.22,0.78
117,117,c10313,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],77,77,154,0.5,0.5
118,118,c10314,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],5,10,15,0.3333333333333333,0.6666666666666666
119,119,c10315,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],10,6,16,0.625,0.375
120,120,c10316,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],6,2,8,0.75,0.25
121,121,c10317,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],6,8,14,0.4285714285714285,0.5714285714285714
122,122,c10318,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],12,9,21,0.5714285714285714,0.4285714285714285
123,123,c10319,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],11,4,15,0.7333333333333333,0.2666666666666666
124,124,c10320,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],20,13,33,0.6060606060606061,0.3939393939393939
125,125,c10321,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],7,1,8,0.875,0.125
126,126,c10328,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],25,11,36,0.6944444444444444,0.3055555555555556
127,127,c10329,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],6,1,7,0.8571428571428571,0.1428571428571428
128,128,c10330,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],19,50,69,0.2753623188405797,0.7246376811594203
129,129,c10331,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],25,21,46,0.5434782608695652,0.4565217391304347
130,130,c10332,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],21,19,40,0.525,0.475
131,131,c10333,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],22,80,102,0.2156862745098039,0.7843137254901961
132,132,c10334,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],18,1,19,0.9473684210526316,0.0526315789473684
133,133,c10335,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],17,1,18,0.9444444444444444,0.0555555555555555
134,134,c10336,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],8,8,16,0.5,0.5
135,135,c10337,m74,Ghostbusters Ii,1989,6.1,45450.0,['action' 'adventure' 'comedy' 'fantasy' 'sci-fi' 'action' 'adventure' 'comedy' 'sci-fi'],21,22,43,0.4883720930232558,0.5116279069767442
136,136,c10456,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],21,14,35,0.6,0.4
137,137,c10457,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],16,7,23,0.6956521739130435,0.3043478260869565
138,138,c10458,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],9,10,19,0.4736842105263157,0.5263157894736842
139,139,c10459,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],5,4,9,0.5555555555555556,0.4444444444444444
140,140,c10460,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],16,24,40,0.4,0.6
141,141,c10461,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],20,15,35,0.5714285714285714,0.4285714285714285
142,142,c10462,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],11,23,34,0.3235294117647059,0.6764705882352942
143,143,c10463,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],12,10,22,0.5454545454545454,0.4545454545454545
144,144,c10464,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],1,8,9,0.1111111111111111,0.8888888888888888
145,145,c10465,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],8,5,13,0.6153846153846154,0.3846153846153846
146,146,c10466,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],5,10,15,0.3333333333333333,0.6666666666666666
147,147,c10467,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],4,3,7,0.5714285714285714,0.4285714285714285
148,148,c10468,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],45,86,131,0.3435114503816794,0.6564885496183206
149,149,c10469,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],52,35,87,0.5977011494252874,0.4022988505747126
150,150,c10470,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],68,135,203,0.334975369458128,0.6650246305418719
151,151,c10471,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],7,7,14,0.5,0.5
152,152,c10472,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],12,36,48,0.25,0.75
153,153,c10473,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],8,15,23,0.3478260869565217,0.6521739130434783
154,154,c10474,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],18,64,82,0.2195121951219512,0.7804878048780488
155,155,c10475,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],19,30,49,0.3877551020408163,0.6122448979591837
156,156,c10476,m75,Ghostbusters,1986,6.9,237.0,['animation' 'comedy' 'fantasy' 'sci-fi' 'horror'],4,13,17,0.2352941176470588,0.7647058823529411
157,157,c10561,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],34,15,49,0.6938775510204082,0.3061224489795918
158,158,c10562,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],8,31,39,0.2051282051282051,0.7948717948717948
159,159,c10563,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],8,14,22,0.3636363636363636,0.6363636363636364
160,160,c10564,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],8,15,23,0.3478260869565217,0.6521739130434783
161,161,c10565,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],16,9,25,0.64,0.36
162,162,c10566,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],23,9,32,0.71875,0.28125
163,163,c10567,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],5,10,15,0.3333333333333333,0.6666666666666666
164,164,c10568,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],36,14,50,0.72,0.28
165,165,c10569,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],4,21,25,0.16,0.84
166,166,c10570,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],19,20,39,0.4871794871794871,0.5128205128205128
167,167,c10571,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],13,17,30,0.4333333333333333,0.5666666666666667
168,168,c10572,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],17,7,24,0.7083333333333334,0.2916666666666667
169,169,c10573,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],3,34,37,0.081081081081081,0.918918918918919
170,170,c10574,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],47,19,66,0.7121212121212122,0.2878787878787879
171,171,c10575,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],15,48,63,0.238095238095238,0.7619047619047619
172,172,c10576,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],63,3,66,0.9545454545454546,0.0454545454545454
173,173,c10577,m76,Gladiator,2000,8.4,286067.0,['action' 'adventure' 'drama'],30,24,54,0.5555555555555556,0.4444444444444444
