,Conv_ID,Title,MovieID,Year,Female,Count,Convo_Genders
69,c10059,ghost world,m72,2001,4,4,ff
70,c1006,a nightmare on elm street 4: the dream master,m7,1988,2,3,mf
71,c10060,ghost world,m72,2001,2,2,ff
72,c10061,ghost world,m72,2001,10,10,ff
73,c10062,ghost world,m72,2001,2,2,ff
74,c10063,ghost world,m72,2001,2,2,ff
75,c10064,ghost world,m72,2001,6,6,ff
76,c10065,ghost world,m72,2001,3,3,ff
77,c10066,ghost world,m72,2001,3,3,ff
78,c10067,ghost world,m72,2001,3,3,ff
79,c10068,ghost world,m72,2001,5,5,ff
80,c10069,ghost world,m72,2001,2,2,ff
81,c1007,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
82,c10070,ghost world,m72,2001,3,3,ff
83,c10071,ghost world,m72,2001,2,2,ff
84,c10072,ghost world,m72,2001,4,4,ff
85,c10073,ghost world,m72,2001,2,2,ff
86,c10074,ghost world,m72,2001,3,3,ff
87,c10075,ghost world,m72,2001,2,2,ff
88,c10076,ghost world,m72,2001,7,7,ff
89,c10077,ghost world,m72,2001,2,2,ff
90,c10078,ghost world,m72,2001,2,2,ff
91,c10079,ghost world,m72,2001,8,8,ff
92,c1008,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
93,c10080,ghost world,m72,2001,2,2,ff
94,c10081,ghost world,m72,2001,12,12,ff
95,c10082,ghost world,m72,2001,8,8,ff
96,c10083,ghost world,m72,2001,7,7,ff
97,c10084,ghost world,m72,2001,10,10,ff
98,c10085,ghost world,m72,2001,2,2,ff
99,c10086,ghost world,m72,2001,3,3,ff
100,c10087,ghost world,m72,2001,2,2,ff
101,c10088,ghost world,m72,2001,4,4,ff
102,c10089,ghost world,m72,2001,4,4,ff
103,c1009,a nightmare on elm street 4: the dream master,m7,1988,3,5,mf
104,c10090,ghost world,m72,2001,8,8,ff
105,c10091,ghost world,m72,2001,13,13,ff
106,c10092,ghost world,m72,2001,11,11,ff
107,c10093,ghost world,m72,2001,10,10,ff
108,c10094,ghost world,m72,2001,8,8,ff
109,c10095,ghost world,m72,2001,3,3,ff
110,c10096,ghost world,m72,2001,2,2,ff
111,c10097,ghost world,m72,2001,7,7,ff
112,c10098,ghost world,m72,2001,3,3,ff
113,c10099,ghost world,m72,2001,6,6,ff
114,c101,10 things i hate about you,m0,1999,0,6,mm
115,c1010,a nightmare on elm street 4: the dream master,m7,1988,1,3,mf
116,c10100,ghost world,m72,2001,4,4,ff
117,c10101,ghost world,m72,2001,2,2,ff
118,c10102,ghost world,m72,2001,2,2,ff
119,c10103,ghost world,m72,2001,1,2,mf
120,c10104,ghost world,m72,2001,2,3,mf
121,c10105,ghost world,m72,2001,2,3,mf
122,c10106,ghost world,m72,2001,3,7,mf
123,c10107,ghost world,m72,2001,2,5,mf
124,c10108,ghost world,m72,2001,1,2,mf
125,c10109,ghost world,m72,2001,2,5,mf
126,c1011,a nightmare on elm street 4: the dream master,m7,1988,2,4,mf
127,c10110,ghost world,m72,2001,2,4,mf
128,c10111,ghost world,m72,2001,1,2,mf
129,c10112,ghost world,m72,2001,2,4,mf
130,c10113,ghost world,m72,2001,2,4,mf
131,c10114,ghost world,m72,2001,1,2,mf
132,c10115,ghost world,m72,2001,3,7,mf
133,c10116,ghost world,m72,2001,1,3,mf
134,c10117,ghost world,m72,2001,1,2,mf
135,c10118,ghost world,m72,2001,3,6,mf
136,c10119,ghost world,m72,2001,2,4,mf
137,c1012,a nightmare on elm street 4: the dream master,m7,1988,3,5,mf
138,c10120,ghost world,m72,2001,2,4,mf
139,c10121,ghost world,m72,2001,2,3,mf
140,c10122,ghost world,m72,2001,4,8,mf
141,c10123,ghost world,m72,2001,2,4,mf
142,c10124,ghost world,m72,2001,1,2,mf
143,c10125,ghost world,m72,2001,1,3,mf
144,c10126,ghost world,m72,2001,1,2,mf
145,c10127,ghost world,m72,2001,1,2,mf
146,c10128,ghost world,m72,2001,2,3,mf
147,c10129,ghost world,m72,2001,4,8,mf
148,c1013,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
149,c10130,ghost world,m72,2001,2,3,mf
150,c10131,ghost world,m72,2001,3,6,mf
151,c10132,ghost world,m72,2001,3,6,mf
152,c10133,ghost world,m72,2001,6,12,mf
153,c10134,ghost world,m72,2001,2,4,mf
154,c10135,ghost world,m72,2001,3,6,mf
155,c10136,ghost world,m72,2001,3,5,mf
156,c10137,ghost world,m72,2001,2,4,mf
157,c10138,ghost world,m72,2001,4,8,mf
158,c10139,ghost world,m72,2001,2,3,mf
159,c1014,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
160,c10140,ghost world,m72,2001,1,2,mf
161,c10141,ghost world,m72,2001,1,2,mf
162,c10142,ghost world,m72,2001,1,2,mf
163,c10143,ghost world,m72,2001,2,4,mf
164,c10144,ghost world,m72,2001,1,2,mf
165,c10145,ghost world,m72,2001,2,4,mf
166,c10146,ghost world,m72,2001,5,12,mf
167,c10147,ghost world,m72,2001,1,3,mf
168,c10148,ghost world,m72,2001,2,3,mf
169,c10149,ghost world,m72,2001,3,6,mf
170,c1015,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
171,c10150,ghost world,m72,2001,4,9,mf
172,c10151,ghost world,m72,2001,4,7,mf
173,c10152,ghost world,m72,2001,2,3,mf
174,c10153,ghost world,m72,2001,1,3,mf
175,c10154,ghost world,m72,2001,9,18,mf
176,c10155,ghost world,m72,2001,1,2,mf
177,c10156,ghost world,m72,2001,1,2,mf
178,c10157,ghost world,m72,2001,4,7,mf
179,c10158,ghost world,m72,2001,4,9,mf
180,c10159,ghost world,m72,2001,1,2,mf
181,c1016,a nightmare on elm street 4: the dream master,m7,1988,2,3,mf
182,c10160,ghost world,m72,2001,5,9,mf
183,c10161,ghost world,m72,2001,4,8,mf
184,c10162,ghost world,m72,2001,4,8,mf
185,c10163,ghost world,m72,2001,10,20,mf
186,c10164,ghost world,m72,2001,4,8,mf
187,c10165,ghost world,m72,2001,1,2,mf
188,c10166,ghost world,m72,2001,1,2,mf
189,c10167,ghost world,m72,2001,1,2,mf
190,c10168,ghost world,m72,2001,2,3,mf
191,c10169,ghost world,m72,2001,8,17,mf
192,c1017,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
193,c10170,ghost world,m72,2001,9,17,mf
194,c10171,ghost world,m72,2001,6,11,mf
195,c10172,ghost world,m72,2001,1,2,mf
196,c10173,ghost world,m72,2001,0,6,mm
197,c10174,ghost world,m72,2001,0,3,mm
198,c10175,ghost world,m72,2001,0,2,mm
199,c10176,ghost world,m72,2001,0,3,mm
200,c10177,ghost world,m72,2001,1,2,mf
201,c10178,ghost world,m72,2001,1,2,mf
202,c10179,ghost world,m72,2001,1,2,mf
203,c1018,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
204,c10180,ghost world,m72,2001,2,3,mf
205,c10181,ghost world,m72,2001,3,5,mf
206,c10182,ghost world,m72,2001,1,2,mf
207,c10183,ghost world,m72,2001,4,7,mf
208,c10184,ghost world,m72,2001,13,27,mf
209,c10185,ghost world,m72,2001,0,6,mm
210,c10186,ghost world,m72,2001,0,2,mm
211,c10187,ghost world,m72,2001,0,3,mm
212,c10188,the ghost and the darkness,m73,1996,0,6,mm
213,c10189,the ghost and the darkness,m73,1996,0,3,mm
214,c1019,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
215,c10190,the ghost and the darkness,m73,1996,0,3,mm
216,c10191,the ghost and the darkness,m73,1996,0,2,mm
217,c10192,the ghost and the darkness,m73,1996,0,3,mm
218,c10193,the ghost and the darkness,m73,1996,0,3,mm
219,c10194,the ghost and the darkness,m73,1996,0,3,mm
220,c10195,the ghost and the darkness,m73,1996,0,5,mm
221,c10196,the ghost and the darkness,m73,1996,0,3,mm
222,c10197,the ghost and the darkness,m73,1996,0,3,mm
223,c10198,the ghost and the darkness,m73,1996,0,8,mm
224,c10199,the ghost and the darkness,m73,1996,0,2,mm
225,c102,10 things i hate about you,m0,1999,0,4,mm
226,c1020,a nightmare on elm street 4: the dream master,m7,1988,2,3,mf
227,c10200,the ghost and the darkness,m73,1996,0,3,mm
228,c10201,the ghost and the darkness,m73,1996,0,2,mm
229,c10202,the ghost and the darkness,m73,1996,0,5,mm
230,c10203,the ghost and the darkness,m73,1996,0,4,mm
231,c10204,the ghost and the darkness,m73,1996,0,2,mm
232,c10205,the ghost and the darkness,m73,1996,0,2,mm
233,c10206,the ghost and the darkness,m73,1996,0,4,mm
234,c10207,the ghost and the darkness,m73,1996,0,3,mm
235,c10208,the ghost and the darkness,m73,1996,0,5,mm
236,c10209,the ghost and the darkness,m73,1996,0,2,mm
237,c1021,a nightmare on elm street 4: the dream master,m7,1988,3,6,mf
238,c10210,the ghost and the darkness,m73,1996,0,3,mm
239,c10211,the ghost and the darkness,m73,1996,0,2,mm
240,c10212,the ghost and the darkness,m73,1996,0,3,mm
241,c10213,the ghost and the darkness,m73,1996,0,3,mm
242,c10214,the ghost and the darkness,m73,1996,0,2,mm
243,c10215,the ghost and the darkness,m73,1996,0,3,mm
244,c10216,the ghost and the darkness,m73,1996,0,6,mm
245,c10217,the ghost and the darkness,m73,1996,0,4,mm
246,c10218,the ghost and the darkness,m73,1996,0,5,mm
247,c10219,the ghost and the darkness,m73,1996,0,2,mm
248,c1022,a nightmare on elm street 4: the dream master,m7,1988,2,4,mf
249,c10220,the ghost and the darkness,m73,1996,0,4,mm
250,c10221,the ghost and the darkness,m73,1996,0,4,mm
251,c10222,the ghost and the darkness,m73,1996,0,3,mm
252,c10223,the ghost and the darkness,m73,1996,0,2,mm
253,c10224,the ghost and the darkness,m73,1996,0,4,mm
254,c10225,the ghost and the darkness,m73,1996,0,4,mm
255,c10226,the ghost and the darkness,m73,1996,0,2,mm
256,c10227,the ghost and the darkness,m73,1996,0,2,mm
257,c10228,the ghost and the darkness,m73,1996,0,3,mm
258,c10229,the ghost and the darkness,m73,1996,0,2,mm
259,c1023,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
260,c10230,the ghost and the darkness,m73,1996,0,2,mm
261,c10231,the ghost and the darkness,m73,1996,0,5,mm
262,c10232,the ghost and the darkness,m73,1996,0,5,mm
263,c10233,the ghost and the darkness,m73,1996,0,4,mm
264,c10234,the ghost and the darkness,m73,1996,0,2,mm
265,c10235,the ghost and the darkness,m73,1996,0,2,mm
266,c10236,the ghost and the darkness,m73,1996,0,3,mm
267,c10237,the ghost and the darkness,m73,1996,0,5,mm
268,c10238,the ghost and the darkness,m73,1996,0,3,mm
269,c10239,the ghost and the darkness,m73,1996,0,3,mm
270,c1024,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
271,c10240,the ghost and the darkness,m73,1996,0,3,mm
272,c10241,the ghost and the darkness,m73,1996,0,9,mm
273,c10242,the ghost and the darkness,m73,1996,0,3,mm
274,c10243,the ghost and the darkness,m73,1996,0,2,mm
275,c10244,the ghost and the darkness,m73,1996,0,5,mm
276,c10245,the ghost and the darkness,m73,1996,0,3,mm
277,c10246,the ghost and the darkness,m73,1996,0,3,mm
278,c10247,the ghost and the darkness,m73,1996,0,2,mm
279,c10248,the ghost and the darkness,m73,1996,0,3,mm
280,c10249,the ghost and the darkness,m73,1996,0,2,mm
281,c1025,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
282,c10250,the ghost and the darkness,m73,1996,0,3,mm
283,c10251,the ghost and the darkness,m73,1996,0,2,mm
284,c10252,the ghost and the darkness,m73,1996,0,2,mm
285,c10253,the ghost and the darkness,m73,1996,0,7,mm
286,c10254,the ghost and the darkness,m73,1996,0,5,mm
287,c10255,the ghost and the darkness,m73,1996,0,2,mm
288,c10256,the ghost and the darkness,m73,1996,0,3,mm
289,c10257,the ghost and the darkness,m73,1996,0,2,mm
290,c10258,the ghost and the darkness,m73,1996,0,4,mm
291,c10259,the ghost and the darkness,m73,1996,0,2,mm
292,c1026,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
293,c10260,the ghost and the darkness,m73,1996,0,2,mm
294,c10261,the ghost and the darkness,m73,1996,0,4,mm
295,c10262,the ghost and the darkness,m73,1996,0,2,mm
296,c10263,the ghost and the darkness,m73,1996,0,2,mm
297,c10264,the ghost and the darkness,m73,1996,0,7,mm
298,c10265,the ghost and the darkness,m73,1996,0,2,mm
299,c10266,the ghost and the darkness,m73,1996,0,4,mm
300,c10267,the ghost and the darkness,m73,1996,0,2,mm
301,c10268,the ghost and the darkness,m73,1996,0,2,mm
302,c10269,the ghost and the darkness,m73,1996,0,2,mm
303,c1027,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
304,c10270,the ghost and the darkness,m73,1996,0,2,mm
305,c10271,the ghost and the darkness,m73,1996,0,2,mm
306,c10272,the ghost and the darkness,m73,1996,0,2,mm
307,c10273,the ghost and the darkness,m73,1996,0,3,mm
308,c10274,the ghost and the darkness,m73,1996,0,2,mm
309,c10275,the ghost and the darkness,m73,1996,0,2,mm
310,c10276,the ghost and the darkness,m73,1996,0,3,mm
311,c10277,the ghost and the darkness,m73,1996,0,3,mm
312,c10278,the ghost and the darkness,m73,1996,0,3,mm
313,c10279,ghostbusters ii,m74,1989,2,3,mf
314,c1028,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
315,c10280,ghostbusters ii,m74,1989,1,2,mf
316,c10281,ghostbusters ii,m74,1989,1,3,mf
317,c10282,ghostbusters ii,m74,1989,1,2,mf
318,c10283,ghostbusters ii,m74,1989,2,4,mf
319,c10284,ghostbusters ii,m74,1989,1,2,mf
320,c10285,ghostbusters ii,m74,1989,4,7,mf
321,c10286,ghostbusters ii,m74,1989,3,6,mf
322,c10287,ghostbusters ii,m74,1989,1,2,mf
323,c10288,ghostbusters ii,m74,1989,1,2,mf
324,c10289,ghostbusters ii,m74,1989,4,9,mf
325,c1029,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
326,c10290,ghostbusters ii,m74,1989,3,5,mf
327,c10291,ghostbusters ii,m74,1989,3,5,mf
328,c10292,ghostbusters ii,m74,1989,1,4,mf
329,c10293,ghostbusters ii,m74,1989,2,3,mf
330,c10294,ghostbusters ii,m74,1989,2,4,mf
331,c10295,ghostbusters ii,m74,1989,3,7,mf
332,c10296,ghostbusters ii,m74,1989,3,6,mf
333,c10297,ghostbusters ii,m74,1989,1,2,mf
334,c10298,ghostbusters ii,m74,1989,1,2,mf
335,c10299,ghostbusters ii,m74,1989,1,2,mf
336,c103,10 things i hate about you,m0,1999,0,2,mm
337,c1030,a nightmare on elm street 4: the dream master,m7,1988,2,4,mf
338,c10300,ghostbusters ii,m74,1989,4,8,mf
339,c10301,ghostbusters ii,m74,1989,2,4,mf
340,c10302,ghostbusters ii,m74,1989,1,2,mf
341,c10303,ghostbusters ii,m74,1989,1,2,mf
342,c10304,ghostbusters ii,m74,1989,1,3,mf
343,c10305,ghostbusters ii,m74,1989,2,3,mf
344,c10306,ghostbusters ii,m74,1989,2,5,mf
345,c10307,ghostbusters ii,m74,1989,2,5,mf
346,c10308,ghostbusters ii,m74,1989,1,2,mf
347,c10309,ghostbusters ii,m74,1989,3,7,mf
348,c1031,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
349,c10310,ghostbusters ii,m74,1989,1,2,mf
350,c10311,ghostbusters ii,m74,1989,4,7,mf
351,c10312,ghostbusters ii,m74,1989,1,3,mf
352,c10313,ghostbusters ii,m74,1989,5,11,mf
353,c10314,ghostbusters ii,m74,1989,1,2,mf
354,c10315,ghostbusters ii,m74,1989,1,2,mf
355,c10316,ghostbusters ii,m74,1989,1,2,mf
356,c10317,ghostbusters ii,m74,1989,1,2,mf
357,c10318,ghostbusters ii,m74,1989,2,3,mf
358,c10319,ghostbusters ii,m74,1989,1,2,mf
359,c1032,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
360,c10320,ghostbusters ii,m74,1989,1,2,mf
361,c10321,ghostbusters ii,m74,1989,1,2,mf
362,c10322,ghostbusters ii,m74,1989,0,6,mm
363,c10323,ghostbusters ii,m74,1989,0,2,mm
364,c10324,ghostbusters ii,m74,1989,0,5,mm
365,c10325,ghostbusters ii,m74,1989,0,2,mm
366,c10326,ghostbusters ii,m74,1989,0,2,mm
367,c10327,ghostbusters ii,m74,1989,0,2,mm
368,c10328,ghostbusters ii,m74,1989,1,3,mf
369,c10329,ghostbusters ii,m74,1989,1,2,mf
370,c1033,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
371,c10330,ghostbusters ii,m74,1989,2,5,mf
372,c10331,ghostbusters ii,m74,1989,2,3,mf
373,c10332,ghostbusters ii,m74,1989,2,4,mf
374,c10333,ghostbusters ii,m74,1989,2,4,mf
375,c10334,ghostbusters ii,m74,1989,1,2,mf
376,c10335,ghostbusters ii,m74,1989,1,2,mf
377,c10336,ghostbusters ii,m74,1989,1,3,mf
378,c10337,ghostbusters ii,m74,1989,2,3,mf
379,c10338,ghostbusters ii,m74,1989,0,2,mm
380,c10339,ghostbusters ii,m74,1989,0,2,mm
381,c1034,a nightmare on elm street 4: the dream master,m7,1988,0,6,mm
382,c10340,ghostbusters ii,m74,1989,0,2,mm
383,c10341,ghostbusters ii,m74,1989,0,2,mm
384,c10342,ghostbusters ii,m74,1989,0,4,mm
385,c10343,ghostbusters ii,m74,1989,0,2,mm
386,c10344,ghostbusters ii,m74,1989,0,3,mm
387,c10345,ghostbusters ii,m74,1989,0,2,mm
388,c10346,ghostbusters ii,m74,1989,0,2,mm
389,c10347,ghostbusters ii,m74,1989,0,3,mm
390,c10348,ghostbusters ii,m74,1989,0,9,mm
391,c10349,ghostbusters ii,m74,1989,0,2,mm
392,c1035,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
393,c10350,ghostbusters ii,m74,1989,0,4,mm
394,c10351,ghostbusters ii,m74,1989,0,2,mm
395,c10352,ghostbusters ii,m74,1989,0,2,mm
396,c10353,ghostbusters ii,m74,1989,0,2,mm
397,c10354,ghostbusters ii,m74,1989,0,2,mm
398,c10355,ghostbusters ii,m74,1989,0,3,mm
399,c10356,ghostbusters ii,m74,1989,0,2,mm
400,c10357,ghostbusters ii,m74,1989,0,12,mm
401,c10358,ghostbusters ii,m74,1989,0,2,mm
402,c10359,ghostbusters ii,m74,1989,0,3,mm
403,c1036,a nightmare on elm street 4: the dream master,m7,1988,0,5,mm
404,c10360,ghostbusters ii,m74,1989,0,7,mm
405,c10361,ghostbusters ii,m74,1989,0,2,mm
406,c10362,ghostbusters ii,m74,1989,0,2,mm
407,c10363,ghostbusters ii,m74,1989,0,4,mm
408,c10364,ghostbusters ii,m74,1989,0,5,mm
409,c10365,ghostbusters ii,m74,1989,0,2,mm
410,c10366,ghostbusters ii,m74,1989,0,3,mm
411,c10367,ghostbusters ii,m74,1989,0,2,mm
412,c10368,ghostbusters ii,m74,1989,0,2,mm
413,c10369,ghostbusters ii,m74,1989,0,2,mm
414,c1037,a nightmare on elm street 4: the dream master,m7,1988,0,3,mm
415,c10370,ghostbusters ii,m74,1989,0,2,mm
416,c10371,ghostbusters ii,m74,1989,0,2,mm
417,c10372,ghostbusters ii,m74,1989,0,2,mm
418,c10373,ghostbusters ii,m74,1989,0,2,mm
419,c10374,ghostbusters ii,m74,1989,0,2,mm
420,c10375,ghostbusters ii,m74,1989,0,5,mm
421,c10376,ghostbusters ii,m74,1989,0,5,mm
422,c10377,ghostbusters ii,m74,1989,0,2,mm
423,c10378,ghostbusters ii,m74,1989,0,3,mm
424,c10379,ghostbusters ii,m74,1989,0,2,mm
425,c1038,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
426,c10380,ghostbusters ii,m74,1989,0,2,mm
427,c10381,ghostbusters ii,m74,1989,0,2,mm
428,c10382,ghostbusters ii,m74,1989,0,2,mm
429,c10383,ghostbusters ii,m74,1989,0,3,mm
430,c10384,ghostbusters ii,m74,1989,0,2,mm
431,c10385,ghostbusters ii,m74,1989,0,3,mm
432,c10386,ghostbusters ii,m74,1989,0,2,mm
433,c10387,ghostbusters ii,m74,1989,0,2,mm
434,c10388,ghostbusters ii,m74,1989,0,2,mm
435,c10389,ghostbusters ii,m74,1989,0,2,mm
436,c1039,a nightmare on elm street 4: the dream master,m7,1988,0,4,mm
437,c10390,ghostbusters ii,m74,1989,0,2,mm
438,c10391,ghostbusters ii,m74,1989,0,2,mm
439,c10392,ghostbusters ii,m74,1989,0,2,mm
440,c10393,ghostbusters ii,m74,1989,0,6,mm
441,c10394,ghostbusters ii,m74,1989,0,5,mm
442,c10395,ghostbusters ii,m74,1989,0,4,mm
443,c10396,ghostbusters ii,m74,1989,0,2,mm
444,c10397,ghostbusters ii,m74,1989,0,2,mm
445,c10398,ghostbusters ii,m74,1989,0,3,mm
446,c10399,ghostbusters ii,m74,1989,0,2,mm
447,c104,10 things i hate about you,m0,1999,0,2,mm
448,c1040,a nightmare on elm street 4: the dream master,m7,1988,0,4,mm
449,c10400,ghostbusters ii,m74,1989,0,2,mm
450,c10401,ghostbusters ii,m74,1989,0,3,mm
451,c10402,ghostbusters ii,m74,1989,0,2,mm
452,c10403,ghostbusters ii,m74,1989,0,2,mm
453,c10404,ghostbusters ii,m74,1989,0,2,mm
454,c10405,ghostbusters ii,m74,1989,0,3,mm
455,c10406,ghostbusters ii,m74,1989,0,5,mm
456,c10407,ghostbusters ii,m74,1989,0,2,mm
457,c10408,ghostbusters ii,m74,1989,0,2,mm
458,c10409,ghostbusters ii,m74,1989,0,2,mm
459,c1041,a nightmare on elm street 4: the dream master,m7,1988,0,2,mm
460,c10410,ghostbusters ii,m74,1989,0,3,mm
461,c10411,ghostbusters ii,m74,1989,0,2,mm
462,c10412,ghostbusters ii,m74,1989,0,3,mm
463,c10413,ghostbusters ii,m74,1989,0,2,mm
464,c10414,ghostbusters ii,m74,1989,0,2,mm
465,c10415,ghostbusters ii,m74,1989,0,2,mm
466,c10416,ghostbusters ii,m74,1989,0,2,mm
467,c10417,ghostbusters ii,m74,1989,0,2,mm
468,c10418,ghostbusters ii,m74,1989,0,2,mm
469,c10419,ghostbusters ii,m74,1989,0,2,mm
470,c1042,a nightmare on elm street 4: the dream master,m7,1988,0,3,mm
471,c10420,ghostbusters ii,m74,1989,0,2,mm
472,c10421,ghostbusters ii,m74,1989,0,2,mm
473,c10422,ghostbusters ii,m74,1989,0,2,mm
474,c10423,ghostbusters ii,m74,1989,0,3,mm
475,c10424,ghostbusters ii,m74,1989,0,2,mm
476,c10425,ghostbusters ii,m74,1989,0,4,mm
477,c10426,ghostbusters ii,m74,1989,0,2,mm
478,c10427,ghostbusters ii,m74,1989,0,2,mm
479,c10428,ghostbusters ii,m74,1989,0,2,mm
480,c10429,ghostbusters ii,m74,1989,0,6,mm
481,c1043,a nightmare on elm street 4: the dream master,m7,1988,0,4,mm
482,c10430,ghostbusters ii,m74,1989,0,3,mm
483,c10431,ghostbusters ii,m74,1989,0,2,mm
484,c10432,ghostbusters ii,m74,1989,0,4,mm
485,c10433,ghostbusters ii,m74,1989,0,2,mm
486,c10434,ghostbusters ii,m74,1989,0,2,mm
487,c10435,ghostbusters ii,m74,1989,0,2,mm
488,c10436,ghostbusters ii,m74,1989,0,3,mm
489,c10437,ghostbusters ii,m74,1989,0,2,mm
490,c10438,ghostbusters ii,m74,1989,0,2,mm
491,c10439,ghostbusters ii,m74,1989,0,2,mm
492,c1044,a nightmare on elm street 4: the dream master,m7,1988,0,3,mm
493,c10440,ghostbusters ii,m74,1989,0,3,mm
494,c10441,ghostbusters ii,m74,1989,0,2,mm
495,c10442,ghostbusters ii,m74,1989,0,2,mm
496,c10443,ghostbusters,m75,1986,0,3,mm
497,c10444,ghostbusters,m75,1986,0,3,mm
498,c10445,ghostbusters,m75,1986,0,3,mm
499,c10446,ghostbusters,m75,1986,0,3,mm
500,c10447,ghostbusters,m75,1986,0,2,mm
501,c10448,ghostbusters,m75,1986,0,5,mm
502,c10449,ghostbusters,m75,1986,0,3,mm
503,c1045,a nightmare on elm street 4: the dream master,m7,1988,0,4,mm
504,c10450,ghostbusters,m75,1986,0,3,mm
505,c10451,ghostbusters,m75,1986,2,4,mf
506,c10452,ghostbusters,m75,1986,3,6,mf
507,c10453,ghostbusters,m75,1986,3,7,mf
508,c10454,ghostbusters,m75,1986,1,2,mf
