,Unnamed: 0,Character_ID,Movie_ID,Title,Gender,Position_in_Credits,Character,Character_Line_Count,Movie_Line_Count,Character_Line_Percent
82,82,u1050,m69,George Washington,m,?,ARNOLD,35,463,0.0755939524838013
83,83,u1051,m69,George Washington,?,?,BILLY LEE,12,463,0.0259179265658747
84,84,u1052,m69,George Washington,?,?,CORNWALLIS,5,463,0.0107991360691144
85,85,u1053,m69,George Washington,?,?,GENERAL LEE,4,463,0.0086393088552915
86,86,u1054,m69,George Washington,m,?,HAMILTON,33,463,0.0712742980561555
87,87,u1055,m69,George Washington,?,?,HORATIO GATES,3,463,0.0064794816414686
88,88,u1056,m69,George Washington,?,?,JOHN ADAMS,16,463,0.0345572354211663
89,89,u1057,m69,George Washington,m,?,JOSEPH REED,23,463,0.0496760259179265
90,90,u1058,m69,George Washington,m,?,LAFAYETTE,16,463,0.0345572354211663
91,91,u1059,m69,George Washington,f,?,MARTHA,23,463,0.0496760259179265
92,92,u1060,m69,George Washington,?,?,MAWHOOD,5,463,0.0107991360691144
93,93,u1061,m69,George Washington,m,?,NATHANAEL GREENE,29,463,0.0626349892008639
94,94,u1062,m69,George Washington,f,?,SALLY,33,463,0.0712742980561555
95,95,u1063,m69,George Washington,?,?,SAM ADAMS,15,463,0.0323974082073434
96,96,u1064,m69,George Washington,m,?,WASHINGTON,179,463,0.386609071274298
97,97,u1065,m69,George Washington,?,?,WILLIAM,10,463,0.0215982721382289
98,98,u1066,m69,George Washington,m,?,YOUNG WASHINGTON,22,463,0.0475161987041036
99,99,u1067,m70,Get Shorty,?,?,ATTENDANT,3,746,0.0040214477211796
100,100,u1068,m70,Get Shorty,m,7,BEAR,34,746,0.0455764075067024
101,101,u1069,m70,Get Shorty,m,6,BO CATLETT,87,746,0.1166219839142091
102,102,u1070,m70,Get Shorty,m,5,BONES,23,746,0.0308310991957104
103,103,u1071,m70,Get Shorty,m,1,CHILI,256,746,0.3431635388739946
104,104,u1072,m70,Get Shorty,?,?,CURTIS,9,746,0.0120643431635388
105,105,u1073,m70,Get Shorty,?,?,DICK,4,746,0.0053619302949061
106,106,u1074,m70,Get Shorty,?,?,DIRECTOR,5,746,0.0067024128686327
107,107,u1075,m70,Get Shorty,?,?,DORIS,9,746,0.0120643431635388
108,108,u1076,m70,Get Shorty,?,?,ESCOBAR,10,746,0.0134048257372654
109,109,u1077,m70,Get Shorty,m,2,HARRY,133,746,0.17828418230563
110,110,u1078,m70,Get Shorty,f,3,KAREN,85,746,0.113941018766756
111,111,u1079,m70,Get Shorty,?,?,LEO,10,746,0.0134048257372654
112,112,u1080,m70,Get Shorty,?,?,MANAGER,4,746,0.0053619302949061
113,113,u1081,m70,Get Shorty,m,4,MARTIN,38,746,0.0509383378016085
114,114,u1082,m70,Get Shorty,?,?,RAY BONES,10,746,0.0134048257372654
115,115,u1083,m70,Get Shorty,?,?,RONNIE,10,746,0.0134048257372654
116,116,u1084,m70,Get Shorty,m,11,TOMMY,16,746,0.0214477211796246
117,117,u1085,m71,Ghost Ship,?,?,COASTGUARD DISPATCHER,10,571,0.0175131348511383
118,118,u1086,m71,Ghost Ship,m,3,DODGE,126,571,0.2206654991243432
119,119,u1087,m71,Ghost Ship,f,2,EPPS,124,571,0.2171628721541156
120,120,u1088,m71,Ghost Ship,m,5,GREER,94,571,0.1646234676007005
121,121,u1089,m71,Ghost Ship,m,1,MURPHY,207,571,0.3625218914185639
122,122,u1090,m71,Ghost Ship,?,?,RIVETER,4,571,0.0070052539404553
123,123,u1091,m71,Ghost Ship,?,?,VASILI,6,571,0.010507880910683
124,124,u1092,m72,Ghost World,m,6,DAD,24,985,0.0243654822335025
125,125,u1093,m72,Ghost World,?,?,DANA,16,985,0.016243654822335
126,126,u1094,m72,Ghost World,f,1,ENID,441,985,0.4477157360406091
127,127,u1095,m72,Ghost World,?,?,GERROLD,3,985,0.0030456852791878
128,128,u1096,m72,Ghost World,?,?,GIRL,4,985,0.0040609137055837
129,129,u1097,m72,Ghost World,?,?,JOE,16,985,0.016243654822335
130,130,u1098,m72,Ghost World,?,?,JOHN,5,985,0.0050761421319796
131,131,u1099,m72,Ghost World,?,?,JOHN ELLIS,7,985,0.0071065989847715
132,132,u1100,m72,Ghost World,m,4,JOSH,37,985,0.0375634517766497
133,133,u1101,m72,Ghost World,?,?,MAN,3,985,0.0030456852791878
134,134,u1102,m72,Ghost World,?,?,MANAGER,7,985,0.0071065989847715
135,135,u1103,m72,Ghost World,?,?,MARGARET,6,985,0.0060913705583756
136,136,u1104,m72,Ghost World,?,?,MAXINE,4,985,0.0040609137055837
137,137,u1105,m72,Ghost World,?,?,MELORRA,7,985,0.0071065989847715
138,138,u1106,m72,Ghost World,f,2,REBECCA,189,985,0.1918781725888325
139,139,u1107,m72,Ghost World,f,5,ROBERTA,29,985,0.0294416243654822
140,140,u1108,m72,Ghost World,m,3,SEYMOUR,178,985,0.1807106598984771
141,141,u1109,m72,Ghost World,?,?,THERAPIST,6,985,0.0060913705583756
142,142,u1110,m72,Ghost World,?,?,TODD,3,985,0.0030456852791878
143,143,u1111,m73,The Ghost And The Darkness,?,?,ABDULLAH,14,291,0.0481099656357388
144,144,u1112,m73,The Ghost And The Darkness,m,3,BEAUMONT,24,291,0.0824742268041237
145,145,u1113,m73,The Ghost And The Darkness,?,?,HAWTHORNE,13,291,0.0446735395189003
146,146,u1114,m73,The Ghost And The Darkness,?,?,HELENA,6,291,0.0206185567010309
147,147,u1115,m73,The Ghost And The Darkness,?,?,MIDDLE COOLIE,4,291,0.0137457044673539
148,148,u1116,m73,The Ghost And The Darkness,m,2,PATTERSON,120,291,0.4123711340206185
149,149,u1117,m73,The Ghost And The Darkness,m,?,REDBEARD,47,291,0.1615120274914089
150,150,u1118,m73,The Ghost And The Darkness,m,4,SAMUEL,30,291,0.1030927835051546
151,151,u1119,m73,The Ghost And The Darkness,m,6,STARLING,33,291,0.1134020618556701
152,152,u1120,m74,Ghostbusters Ii,f,3,DANA,80,497,0.1609657947686116
153,153,u1121,m74,Ghostbusters Ii,?,?,ELAINE,3,497,0.0060362173038229
154,154,u1122,m74,Ghostbusters Ii,?,?,FRANK,6,497,0.0120724346076458
155,155,u1123,m74,Ghostbusters Ii,?,?,HARDEMEYER,7,497,0.0140845070422535
156,156,u1124,m74,Ghostbusters Ii,f,7,JANINE,15,497,0.0301810865191146
157,157,u1125,m74,Ghostbusters Ii,m,8,JANOSZ,29,497,0.0583501006036217
158,158,u1126,m74,Ghostbusters Ii,?,?,JUDGE,9,497,0.0181086519114688
159,159,u1127,m74,Ghostbusters Ii,m,5,LOUIS,31,497,0.062374245472837
160,160,u1128,m74,Ghostbusters Ii,?,?,MILTON,3,497,0.0060362173038229
161,161,u1129,m74,Ghostbusters Ii,?,?,PROSECUTOR,4,497,0.0080482897384305
162,162,u1130,m74,Ghostbusters Ii,?,?,SHERMAN,8,497,0.0160965794768611
163,163,u1131,m74,Ghostbusters Ii,?,?,SPENGLER,45,497,0.090543259557344
164,164,u1132,m74,Ghostbusters Ii,m,2,STANTZ,74,497,0.1488933601609658
165,165,u1133,m74,Ghostbusters Ii,m,1,VENKMAN,147,497,0.2957746478873239
166,166,u1134,m74,Ghostbusters Ii,?,?,VIGO,7,497,0.0140845070422535
167,167,u1135,m74,Ghostbusters Ii,m,6,WINSTON,29,497,0.0583501006036217
168,168,u1136,m75,Ghostbusters,?,?,BRIDE,8,454,0.0176211453744493
169,169,u1137,m75,Ghostbusters,?,?,COED,5,454,0.0110132158590308
170,170,u1138,m75,Ghostbusters,f,?,DANA,59,454,0.1299559471365639
171,171,u1139,m75,Ghostbusters,?,?,DEAN YAEGER,3,454,0.0066079295154185
172,172,u1140,m75,Ghostbusters,?,?,FIRST BUM,4,454,0.0088105726872246
173,173,u1141,m75,Ghostbusters,?,?,GROOM,4,454,0.0088105726872246
174,174,u1142,m75,Ghostbusters,?,?,HEAD LIBRARIAN,4,454,0.0088105726872246
175,175,u1143,m75,Ghostbusters,?,?,JANINE,16,454,0.0352422907488986
176,176,u1144,m75,Ghostbusters,?,?,LOUIS,11,454,0.0242290748898678
177,177,u1145,m75,Ghostbusters,?,?,MANAGER,3,454,0.0066079295154185
178,178,u1146,m75,Ghostbusters,?,?,PECK,17,454,0.0374449339207048
179,179,u1147,m75,Ghostbusters,?,?,SECOND BUM,4,454,0.0088105726872246
180,180,u1148,m75,Ghostbusters,?,?,SOPHOMORE,7,454,0.0154185022026431
181,181,u1149,m75,Ghostbusters,m,?,SPENGLER,52,454,0.1145374449339207
182,182,u1150,m75,Ghostbusters,m,?,STANTZ,67,454,0.1475770925110132
183,183,u1151,m75,Ghostbusters,?,?,STREET PUNK,4,454,0.0088105726872246
184,184,u1152,m75,Ghostbusters,m,?,VENKMAN,170,454,0.3744493392070485
185,185,u1153,m75,Ghostbusters,?,?,WINSTON,13,454,0.0286343612334801
186,186,u1154,m75,Ghostbusters,?,?,WOMAN,3,454,0.0066079295154185
187,187,u115,m7,A Nightmare On Elm Street 4: The Dream Master,f,1,ALICE,54,155,0.3483870967741935
188,188,u116,m7,A Nightmare On Elm Street 4: The Dream Master,m,3,DAN,29,155,0.1870967741935484
189,189,u117,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,DEBBIE,4,155,0.0258064516129032
190,190,u118,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,ELAINE,5,155,0.032258064516129
191,191,u119,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,KRISTEN,22,155,0.1419354838709677
192,192,u120,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,NURSE,4,155,0.0258064516129032
193,193,u121,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,RICK,31,155,0.2
194,194,u122,m7,A Nightmare On Elm Street 4: The Dream Master,?,?,SHEILA,6,155,0.0387096774193548
195,195,u1155,m76,Gladiator,m,2,COMMODUS,69,377,0.1830238726790451
196,196,u1156,m76,Gladiator,?,?,COS,10,377,0.026525198938992
197,197,u1157,m76,Gladiator,?,?,FALCO,15,377,0.039787798408488
198,198,u1158,m76,Gladiator,?,?,GAIUS,3,377,0.0079575596816976
199,199,u1159,m76,Gladiator,?,?,GRACCHUS,4,377,0.0106100795755968
200,200,u1160,m76,Gladiator,?,?,JUBA,4,377,0.0106100795755968
201,201,u1161,m76,Gladiator,f,3,LUCILLA,45,377,0.1193633952254641
202,202,u1162,m76,Gladiator,?,?,MARCUS AURELIUS,11,377,0.0291777188328912
203,203,u1163,m76,Gladiator,m,?,NARCISSUS,128,377,0.3395225464190981
204,204,u1164,m76,Gladiator,m,4,PROXIMO,43,377,0.1140583554376657
205,205,u1165,m76,Gladiator,?,?,QUINTUS,19,377,0.0503978779840848
206,206,u1166,m76,Gladiator,f,?,SELENE,18,377,0.0477453580901856
207,207,u1167,m76,Gladiator,?,?,THEMIS,3,377,0.0079575596816976
208,208,u1168,m76,Gladiator,?,?,TRIBUUS,5,377,0.013262599469496
209,209,u1169,m77,The Graduate,m,2,BEN,489,1014,0.4822485207100592
210,210,u1170,m77,The Graduate,?,?,BEN'S VOICE,9,1014,0.0088757396449704
211,211,u1171,m77,The Graduate,?,?,CLERK,3,1014,0.0029585798816568
212,212,u1172,m77,The Graduate,f,3,ELAINE,119,1014,0.1173570019723865
213,213,u1173,m77,The Graduate,m,4,MR. BRADDOCK,27,1014,0.0266272189349112
214,214,u1174,m77,The Graduate,m,10,MR. MCCLEERY,16,1014,0.0157790927021696
215,215,u1175,m77,The Graduate,?,?,MR. MCQUIRE,7,1014,0.0069033530571992
216,216,u1176,m77,The Graduate,m,5,MR. ROBINSON,39,1014,0.0384615384615384
217,217,u1177,m77,The Graduate,f,6,MRS. BRADDOCK,28,1014,0.0276134122287968
218,218,u1178,m77,The Graduate,f,1,MRS. ROBINSON,237,1014,0.2337278106508875
219,219,u1179,m77,The Graduate,f,?,MRS. ROBINSON'S VOICE,15,1014,0.014792899408284
220,220,u1180,m77,The Graduate,?,?,MRS. SINGLEMAN,5,1014,0.004930966469428
221,221,u1181,m77,The Graduate,m,7,ROOM CLERK,15,1014,0.014792899408284
222,222,u1182,m77,The Graduate,?,?,WOMAN'S VOICE,5,1014,0.004930966469428
223,223,u1183,m78,Grand Hotel,?,?,A MAN,5,832,0.0060096153846153
224,224,u1184,m78,Grand Hotel,m,2,BARON,168,832,0.2019230769230769
225,225,u1185,m78,Grand Hotel,m,12,CHAUFFEUR,22,832,0.0264423076923076
226,226,u1186,m78,Grand Hotel,m,1000,CLERK,12,832,0.0144230769230769
227,227,u1187,m78,Grand Hotel,m,6,DOCTOR,26,832,0.03125
228,228,u1188,m78,Grand Hotel,f,3,FLAEMMCHEN,118,832,0.141826923076923
229,229,u1189,m78,Grand Hotel,m,13,GERSTENKORN,36,832,0.0432692307692307
230,230,u1190,m78,Grand Hotel,f,1,GRUSINSKAYA,96,832,0.1153846153846153
231,231,u1191,m78,Grand Hotel,m,5,KRINGELEIN,117,832,0.140625
232,232,u1192,m78,Grand Hotel,?,?,MANAGER,4,832,0.0048076923076923
233,233,u1193,m78,Grand Hotel,?,?,MEIERHEIM,17,832,0.0204326923076923
234,234,u1194,m78,Grand Hotel,?,?,PIMENOV,21,832,0.0252403846153846
235,235,u1195,m78,Grand Hotel,m,4,PREYSING,118,832,0.141826923076923
236,236,u1196,m78,Grand Hotel,?,?,ROHNA,4,832,0.0048076923076923
237,237,u1197,m78,Grand Hotel,?,?,SCHWEIMANN,4,832,0.0048076923076923
238,238,u1198,m78,Grand Hotel,m,7,SENF,18,832,0.0216346153846153
239,239,u1199,m78,Grand Hotel,f,11,SUZETTE,15,832,0.0180288461538461
240,240,u1200,m78,Grand Hotel,?,?,WAITZ,4,832,0.0048076923076923
241,241,u1201,m78,Grand Hotel,m,9,ZINNOWITZ,27,832,0.032451923076923
242,242,u12,m1,1492: Conquest Of Paradise,?,?,ALONSO,7,273,0.0256410256410256
243,243,u13,m1,1492: Conquest Of Paradise,?,?,AROJAZ,13,273,0.0476190476190476
244,244,u14,m1,1492: Conquest Of Paradise,?,?,BEATRIX,12,273,0.0439560439560439
245,245,u15,m1,1492: Conquest Of Paradise,?,?,BOBADILLA,7,273,0.0256410256410256
246,246,u16,m1,1492: Conquest Of Paradise,m,1,COLUMBUS,118,273,0.4322344322344322
247,247,u17,m1,1492: Conquest Of Paradise,?,?,FERNANDO,10,273,0.0366300366300366
248,248,u18,m1,1492: Conquest Of Paradise,?,?,ISABEL,19,273,0.0695970695970696
249,249,u19,m1,1492: Conquest Of Paradise,m,6,MARCHENA,25,273,0.0915750915750915
250,250,u20,m1,1492: Conquest Of Paradise,?,?,MENDEZ,6,273,0.0219780219780219
251,251,u21,m1,1492: Conquest Of Paradise,?,?,MOXICA,7,273,0.0256410256410256
252,252,u22,m1,1492: Conquest Of Paradise,?,?,PINZON,9,273,0.0329670329670329
253,253,u23,m1,1492: Conquest Of Paradise,?,?,SAILOR,4,273,0.0146520146520146
254,254,u24,m1,1492: Conquest Of Paradise,?,?,SANCHEZ,25,273,0.0915750915750915
255,255,u25,m1,1492: Conquest Of Paradise,?,?,UTAPAN,11,273,0.0402930402930402
256,256,u1202,m79,The Grifters,m,17,BOBO,30,552,0.0543478260869565
257,257,u1203,m79,The Grifters,?,?,CLERK,9,552,0.0163043478260869
258,258,u1204,m79,The Grifters,?,?,COLE,21,552,0.0380434782608695
259,259,u1205,m79,The Grifters,?,?,DOCTOR,4,552,0.0072463768115942
260,260,u1206,m79,The Grifters,?,?,HEBBING,8,552,0.0144927536231884
261,261,u1207,m79,The Grifters,?,?,IRV,3,552,0.0054347826086956
262,262,u1208,m79,The Grifters,?,?,JEWELER,10,552,0.0181159420289855
263,263,u1209,m79,The Grifters,?,?,KAGGS,22,552,0.0398550724637681
264,264,u1210,m79,The Grifters,f,1,LILLY,119,552,0.2155797101449275
265,265,u1211,m79,The Grifters,?,?,MANAGER,4,552,0.0072463768115942
266,266,u1212,m79,The Grifters,?,?,MINTZ,4,552,0.0072463768115942
267,267,u1213,m79,The Grifters,f,3,MYRA,99,552,0.1793478260869565
268,268,u1214,m79,The Grifters,m,31,PIERSON,16,552,0.0289855072463768
269,269,u1215,m79,The Grifters,m,2,ROY,199,552,0.3605072463768116
270,270,u1216,m79,The Grifters,?,?,SIMMS,4,552,0.0072463768115942
271,271,u1217,m80,Halloween H20: 20 Years Later,?,?,BLAKE,19,261,0.0727969348659003
272,272,u1218,m80,Halloween H20: 20 Years Later,?,?,CARTER,28,261,0.10727969348659
273,273,u1219,m80,Halloween H20: 20 Years Later,?,?,DEPUTY CLARK,5,261,0.0191570881226053
274,274,u1220,m80,Halloween H20: 20 Years Later,?,?,EDDIE,3,261,0.0114942528735632
275,275,u1221,m80,Halloween H20: 20 Years Later,?,?,JIMMY,9,261,0.0344827586206896
276,276,u1222,m80,Halloween H20: 20 Years Later,m,2,JOHN,43,261,0.1647509578544061
277,277,u1223,m80,Halloween H20: 20 Years Later,f,1,KERI,65,261,0.2490421455938697
278,278,u1224,m80,Halloween H20: 20 Years Later,?,?,LINDA,20,261,0.0766283524904214
279,279,u1225,m80,Halloween H20: 20 Years Later,?,?,MOLLY,31,261,0.1187739463601532
280,280,u1226,m80,Halloween H20: 20 Years Later,?,?,PAMELA,8,261,0.0306513409961685
281,281,u1227,m80,Halloween H20: 20 Years Later,?,?,SHANE,7,261,0.0268199233716475
282,282,u1228,m80,Halloween H20: 20 Years Later,m,3,WILL,23,261,0.0881226053639846
283,283,u1229,m81,Halloween: The Curse Of Michael Myers,?,?,BETH,18,185,0.0972972972972973
284,284,u1230,m81,Halloween: The Curse Of Michael Myers,?,?,DANNY,11,185,0.0594594594594594
285,285,u1231,m81,Halloween: The Curse Of Michael Myers,?,?,DEBRA,12,185,0.0648648648648648
286,286,u1232,m81,Halloween: The Curse Of Michael Myers,?,?,HARRY SIMMS,4,185,0.0216216216216216
287,287,u1233,m81,Halloween: The Curse Of Michael Myers,?,?,JAMIE,4,185,0.0216216216216216
288,288,u1234,m81,Halloween: The Curse Of Michael Myers,?,?,JOHN,7,185,0.0378378378378378
289,289,u1235,m81,Halloween: The Curse Of Michael Myers,?,?,KARA,33,185,0.1783783783783784
290,290,u1236,m81,Halloween: The Curse Of Michael Myers,m,1,LOOMIS,39,185,0.2108108108108108
291,291,u1237,m81,Halloween: The Curse Of Michael Myers,?,?,TIM,9,185,0.0486486486486486
292,292,u1238,m81,Halloween: The Curse Of Michael Myers,?,?,TOMMY,23,185,0.1243243243243243
293,293,u1239,m81,Halloween: The Curse Of Michael Myers,m,4,WYNN,25,185,0.1351351351351351
294,294,u123,m8,A Nightmare On Elm Street: The Dream Child,f,2,ALICE,84,206,0.4077669902912621
295,295,u124,m8,A Nightmare On Elm Street: The Dream Child,?,?,ALICE'S DAD,13,206,0.0631067961165048
296,296,u125,m8,A Nightmare On Elm Street: The Dream Child,?,?,DAN,9,206,0.0436893203883495
297,297,u126,m8,A Nightmare On Elm Street: The Dream Child,?,?,GRETA,12,206,0.058252427184466
298,298,u127,m8,A Nightmare On Elm Street: The Dream Child,?,?,JACOB,13,206,0.0631067961165048
299,299,u128,m8,A Nightmare On Elm Street: The Dream Child,m,7,MARK,35,206,0.1699029126213592
300,300,u129,m8,A Nightmare On Elm Street: The Dream Child,?,?,MRS. JORDAN,5,206,0.0242718446601941
301,301,u130,m8,A Nightmare On Elm Street: The Dream Child,f,3,YVONNE,35,206,0.1699029126213592
302,302,u1240,m82,Happy Birthday Wanda June,m,1,HAROLD,409,1160,0.3525862068965517
303,303,u1241,m82,Happy Birthday Wanda June,m,5,LOOSELEAF,92,1160,0.0793103448275862
304,304,u1242,m82,Happy Birthday Wanda June,?,?,MILDRED,9,1160,0.0077586206896551
305,305,u1243,m82,Happy Birthday Wanda June,m,6,PAUL,135,1160,0.1163793103448275
306,306,u1244,m82,Happy Birthday Wanda June,f,2,PENELOPE,241,1160,0.2077586206896551
307,307,u1245,m82,Happy Birthday Wanda June,m,4,SHUTTLE,98,1160,0.0844827586206896
308,308,u1246,m82,Happy Birthday Wanda June,?,?,VON KONIGSWALD,13,1160,0.0112068965517241
309,309,u1247,m82,Happy Birthday Wanda June,?,?,WANDA JUNE,9,1160,0.0077586206896551
310,310,u1248,m82,Happy Birthday Wanda June,m,?,WOODLY,154,1160,0.1327586206896551
311,311,u1249,m83,Hardcore,?,?,BEATRICE,4,536,0.0074626865671641
312,312,u1250,m83,Hardcore,?,?,BLACK STUD,3,536,0.0055970149253731
313,313,u1251,m83,Hardcore,?,?,BURROWS,8,536,0.0149253731343283
314,314,u1252,m83,Hardcore,f,10,FELICE,19,536,0.0354477611940298
